"CÓDIGO ÓRGÃO SUPERIOR";"NOME ÓRGÃO SUPERIOR";"CÓDIGO ÓRGÃO";"NOME ÓRGÃO";"CÓDIGO UNIDADE GESTORA";"NOME UNIDADE GESTORA";"CATEGORIA ECONÔMICA";"ORIGEM RECEITA";"ESPÉCIE RECEITA";"DETALHAMENTO";"VALOR PREVISTO ATUALIZADO";"VALOR LANÇADO";"VALOR REALIZADO";"PERCENTUAL REALIZADO";"DATA LANÇAMENTO";"ANO EXERCÍCIO"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Bens, Direitos e Valores Incorporados ao Patr";"REC.DIVIDA ATIVA NAO TRIBUTARIA DE OUTRAS REC";"0,00";"0,00";"-609,37";"0,00";"31/12/2015";"2015"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Multas administrativas, contratuais e judicia";"MULTAS E JUROS PREVISTOS EM CONTRATOS";"0,00";"0,00";"38959,87";"0,00";"31/12/2015";"2015"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Multas administrativas, contratuais e judicia";"OUTRAS MULTAS E JUROS DE MORA";"0,00";"0,00";"1022856,02";"0,00";"31/12/2015";"2015"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Multas administrativas, contratuais e judicia";"MULTAS ADMINISTRATIVAS POR DANOS AMBIENTAIS";"0,00";"0,00";"-63111,28";"0,00";"31/12/2015";"2015"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Indenizações, restituições e ressarciment";"RECUPERACAO DE DESPESAS DE EXERC. ANTERIORES";"0,00";"0,00";"4085135,44";"0,00";"31/12/2015";"2015"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Bens, Direitos e Valores Incorporados ao Patr";"REC.DIV.ATIVA POR INFRACAO ADMINISTRATIVA";"0,00";"0,00";"118181,92";"0,00";"31/12/2015";"2015"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Demais receitas correntes";"RECEITA DE HONORARIOS DE ADVOGADOS";"0,00";"0,00";"63829853,40";"0,00";"31/12/2015";"2015"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Demais receitas correntes";"OUTRAS RECEITAS";"0,00";"0,00";"2120665,41";"0,00";"31/12/2015";"2015"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU";"Receitas Correntes";"Impostos, Taxas e Contribuições de Melhoria";"Taxas";"TAXA DE CONTROLE E FISCALIZACAO AMBIENTAL";"0,00";"0,00";"-51922,63";"0,00";"31/12/2015";"2015"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Multas administrativas, contratuais e judicia";"OUTRAS MULTAS";"0,00";"0,00";"955512,29";"0,00";"31/12/2015";"2015"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Demais receitas correntes";"RECEITA DE ONUS DE SUCUMBENCIA";"0,00";"0,00";"13060401,15";"0,00";"31/12/2015";"2015"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Indenizações, restituições e ressarciment";"OUTRAS RESTITUICOES";"0,00";"0,00";"48085,58";"0,00";"31/12/2015";"2015"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU";"Receitas Correntes";"Outras Receitas Correntes";"Indenizações, restituições e ressarciment";"OUTRAS INDENIZACOES";"0,00";"0,00";"11546322,86";"0,00";"31/12/2015";"2015"
"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com vínculo direto";"110060";"COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU";"Receitas Correntes";"Receita de Serviços";"Receita de Serviços";"TAR.INSCR.CONCURSOS E PROCESSOS SELETIVOS";"636000,00";"0,00";"4486964,41";"705,4975487421383647700";"31/12/2015";"2015"
"25201";"Banco Central do Brasil - Orçamento Fiscal e";"25201";"Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"173057";"BANCO CENTRAL DO BRASIL";"Receitas Correntes";"Outras Receitas Correntes";"Indenizações, restituições e ressarciment";"OUTRAS RESTITUICOES";"41584793,00";"0,00";"182424462,20";"438,6807028232652258200";"31/12/2015";"2015"
"25201";"Banco Central do Brasil - Orçamento Fiscal e";"25201";"Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"173057";"BANCO CENTRAL DO BRASIL";"Receitas de Capital";"Transferências de Capital";"Transferências dos Municípios e de suas Ent";"TRANSFERENCIAS DE INSTITUICOES PRIVADAS";"116882640,00";"0,00";"0,00";"0,00";"31/12/2015";"2015"
"25201";"Banco Central do Brasil - Orçamento Fiscal e";"25201";"Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"173057";"BANCO CENTRAL DO BRASIL";"Receitas Correntes";"Outras Receitas Correntes";"Indenizações, restituições e ressarciment";"OUTRAS INDENIZACOES";"0,00";"0,00";"523210,98";"0,00";"31/12/2015";"2015"
"25201";"Banco Central do Brasil - Orçamento Fiscal e";"25201";"Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"173057";"BANCO CENTRAL DO BRASIL";"Receitas Correntes";"Outras Receitas Correntes";"Indenizações, restituições e ressarciment";"RESTITUICAO DE CONTRIB. PREVID.COMPLEMENTARES";"187202358,00";"0,00";"0,00";"0,00";"31/12/2015";"2015"
"25201";"Banco Central do Brasil - Orçamento Fiscal e";"25201";"Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"173057";"BANCO CENTRAL DO BRASIL";"Receitas Correntes";"Outras Receitas Correntes";"Bens, Direitos e Valores Incorporados ao Patr";"REC.DIVIDA ATIVA NAO TRIBUTARIA DE OUTRAS REC";"9545684,00";"0,00";"12099120,51";"126,7496442371232904800";"31/12/2015";"2015"
"25201";"Banco Central do Brasil - Orçamento Fiscal e";"25201";"Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"173057";"BANCO CENTRAL DO BRASIL";"Receitas Correntes";"Receita de Serviços";"Receita de Serviços";"TARIFA PELO USO DO SIST.DE TRANSF. RES. BACEN";"33214350,00";"0,00";"37772996,44";"113,7249304592743798900";"31/12/2015";"2015"
"25201";"Banco Central do Brasil - Orçamento Fiscal e";"25201";"Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"173057";"BANCO CENTRAL DO BRASIL";"Receitas Correntes";"Transferências Correntes";"Transferências dos Municípios e de suas Ent";"TRANSFERENCIAS DE INSTITUICOES PRIVADAS";"0,00";"0,00";"91431248,75";"0,00";"31/12/2015";"2015"
