codigo_orgao_superior,nome_orgao_superior,codigo_orgao,nome_orgao,codigo_unidade_gestora,nome_unidade_gestora,categoria_economica,origem_receita,especie_receita,detalhamento,valor_previsto_atualizado,valor_lancado,valor_realizado,percentual_realizado,data_lancamento
63000,Advocacia-Geral da União,63000,Advocacia-Geral da União - Unidades com vínculo direto,110060,COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU,Receitas Correntes,Outras Receitas Correntes,Demais receitas correntes,OUTRAS RECEITAS,0.0,0.0,1183207.71,0.0,31/12/2014
63000,Advocacia-Geral da União,63000,Advocacia-Geral da União - Unidades com vínculo direto,110060,COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU,Receitas Correntes,Outras Receitas Correntes,"Multas administrativas, contratuais e judicia",MULTAS E JUROS PREVISTOS EM CONTRATOS,0.0,0.0,15920.83,0.0,31/12/2014
63000,Advocacia-Geral da União,63000,Advocacia-Geral da União - Unidades com vínculo direto,110060,COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU,Receitas Correntes,Outras Receitas Correntes,"Indenizações, restituições e ressarciment",RECUPERACAO DE DESPESAS DE EXERC. ANTERIORES,0.0,0.0,11454509.77,0.0,31/12/2014
63000,Advocacia-Geral da União,63000,Advocacia-Geral da União - Unidades com vínculo direto,110060,COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU,Receitas Correntes,Outras Receitas Correntes,"Multas administrativas, contratuais e judicia",OUTRAS MULTAS,0.0,0.0,351677.27,0.0,31/12/2014
63000,Advocacia-Geral da União,63000,Advocacia-Geral da União - Unidades com vínculo direto,110060,COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU,Receitas Correntes,Outras Receitas Correntes,"Indenizações, restituições e ressarciment",OUTRAS INDENIZACOES,0.0,0.0,1784084.0,0.0,31/12/2014
63000,Advocacia-Geral da União,63000,Advocacia-Geral da União - Unidades com vínculo direto,110060,COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU,Receitas Correntes - intra-orçamentárias,Outras Receitas Correntes,Indenizações e restituições,RECUPERACAO DE DESPESAS DE EXERC. ANTERIORES,0.0,0.0,232.02,0.0,31/12/2014
63000,Advocacia-Geral da União,63000,Advocacia-Geral da União - Unidades com vínculo direto,110060,COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU,Receitas Correntes,Receita de Serviços,Receita de Serviços,TAR.INSCR.CONCURSOS E PROCESSOS SELETIVOS,0.0,0.0,367815.01,0.0,31/12/2014
63000,Advocacia-Geral da União,63000,Advocacia-Geral da União - Unidades com vínculo direto,110060,COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU,Receitas Correntes,Outras Receitas Correntes,Demais receitas correntes,RECEITA DE ÔNUS DE SUCUMBÊNCIA,0.0,0.0,17356434.88,0.0,31/12/2014
63000,Advocacia-Geral da União,63000,Advocacia-Geral da União - Unidades com vínculo direto,110060,COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU,Receitas de Capital,Operações de Crédito,Operações de crédito - mercado externo,OPERACOES DE CREDITOS EXTERNAS - CONTRATUAIS,2300000.0,0.0,0.0,0.0,31/12/2014
63000,Advocacia-Geral da União,63000,Advocacia-Geral da União - Unidades com vínculo direto,110060,COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU,Receitas Correntes,Outras Receitas Correntes,"Bens, Direitos e Valores Incorporados ao Patr",REC.DIVIDA ATIVA NAO TRIBUTARIA DE OUTRAS REC,0.0,0.0,-3316.55,0.0,31/12/2014
63000,Advocacia-Geral da União,63000,Advocacia-Geral da União - Unidades com vínculo direto,110060,COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU,Receitas Correntes,Outras Receitas Correntes,"Indenizações, restituições e ressarciment",OUTRAS RESTITUICOES,0.0,0.0,58544.25,0.0,31/12/2014
63000,Advocacia-Geral da União,63000,Advocacia-Geral da União - Unidades com vínculo direto,110060,COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU,Receitas Correntes,Outras Receitas Correntes,"Bens, Direitos e Valores Incorporados ao Patr",REC.DIV.ATIVA POR INFRAÇÃO ADMINISTRATIVA,0.0,0.0,31431.12,0.0,31/12/2014
63000,Advocacia-Geral da União,63000,Advocacia-Geral da União - Unidades com vínculo direto,110060,COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU,Receitas Correntes,Outras Receitas Correntes,"Multas administrativas, contratuais e judicia",OUTRAS MULTAS E JUROS DE MORA,0.0,0.0,2195899.92,0.0,31/12/2014
63000,Advocacia-Geral da União,63000,Advocacia-Geral da União - Unidades com vínculo direto,110060,COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU,Receitas Correntes,Outras Receitas Correntes,Demais receitas correntes,RECEITA DE HONORÁRIOS DE ADVOGADOS,0.0,0.0,46699948.08,0.0,31/12/2014
25201,Banco Central do Brasil - Orçamento Fiscal e,25201,Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto,173057,BANCO CENTRAL DO BRASIL,Receitas de Capital,Transferências de Capital,Transferências dos Municípios e de suas Ent,Transferências dos Municípios e de suas Ent,0.0,0.0,50368008.62,0.0,31/12/2014
25201,Banco Central do Brasil - Orçamento Fiscal e,25201,Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto,173057,BANCO CENTRAL DO BRASIL,Receitas Correntes,Outras Receitas Correntes,"Bens, Direitos e Valores Incorporados ao Patr",REC.DIVIDA ATIVA NAO TRIBUTARIA DE OUTRAS REC,4746861.0,0.0,25870667.51,545.0057945661354,31/12/2014
25201,Banco Central do Brasil - Orçamento Fiscal e,25201,Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto,173057,BANCO CENTRAL DO BRASIL,Receitas Correntes,Outras Receitas Correntes,"Indenizações, restituições e ressarciment",OUTRAS RESTITUICOES,0.0,0.0,36108509.11,0.0,31/12/2014
25201,Banco Central do Brasil - Orçamento Fiscal e,25201,Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto,173057,BANCO CENTRAL DO BRASIL,Receitas Correntes,Receita de Serviços,Receita de Serviços,TARIFA PELO USO DO SISTEMA DE INFORM.DO BACEN,182236036.0,0.0,155778653.55,85.48180533843482,31/12/2014
25201,Banco Central do Brasil - Orçamento Fiscal e,25201,Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto,173057,BANCO CENTRAL DO BRASIL,Receitas Correntes,Receita de Serviços,Receita de Serviços,SERVICOS ADMINISTRATIVOS,16118643.0,0.0,14584974.95,90.48512923823674,31/12/2014
25201,Banco Central do Brasil - Orçamento Fiscal e,25201,Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto,173057,BANCO CENTRAL DO BRASIL,Receitas Correntes,Outras Receitas Correntes,Demais receitas correntes,OUTRAS RECEITAS,30638065.0,0.0,3349910.29,10.933818078915884,31/12/2014
25201,Banco Central do Brasil - Orçamento Fiscal e,25201,Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto,173057,BANCO CENTRAL DO BRASIL,Receitas Correntes,Transferências Correntes,Transferências dos Municípios e de suas Ent,Transferências dos Municípios e de suas Ent,42000000.0,0.0,0.0,0.0,31/12/2014
25201,Banco Central do Brasil - Orçamento Fiscal e,25201,Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto,173057,BANCO CENTRAL DO BRASIL,Receitas Correntes,Outras Receitas Correntes,"Multas administrativas, contratuais e judicia",OUTRAS MULTAS,126541854.0,0.0,143256153.49,113.20851478120433,31/12/2014
