codigo_orgao_superior,nome_orgao_superior,codigo_orgao,nome_orgao,codigo_unidade_gestora,nome_unidade_gestora,categoria_economica,origem_receita,especie_receita,detalhamento,valor_previsto_atualizado,valor_lancado,valor_realizado,percentual_realizado,data_lancamento
63000,Advocacia-Geral da União,63000,Advocacia-Geral da União - Unidades com vínculo direto,110060,COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU,Receitas Correntes,Outras Receitas Correntes,"Indenizações, restituições e ressarciment",OUTRAS RESTITUICOES,0.0,0.0,52140.68,0.0,31/12/2013
63000,Advocacia-Geral da União,63000,Advocacia-Geral da União - Unidades com vínculo direto,110060,COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU,Receitas Correntes,Outras Receitas Correntes,"Bens, Direitos e Valores Incorporados ao Patr",REC.DIVIDA ATIVA NAO TRIBUTARIA DE OUTRAS REC,0.0,0.0,1297.13,0.0,31/12/2013
63000,Advocacia-Geral da União,63000,Advocacia-Geral da União - Unidades com vínculo direto,110060,COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU,Receitas Correntes,Outras Receitas Correntes,"Indenizações, restituições e ressarciment",RECUPERACAO DE DESPESAS DE EXERC. ANTERIORES,0.0,0.0,26666621.42,0.0,31/12/2013
63000,Advocacia-Geral da União,63000,Advocacia-Geral da União - Unidades com vínculo direto,110060,COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU,Receitas Correntes,Outras Receitas Correntes,"Multas administrativas, contratuais e judicia",OUTRAS MULTAS E JUROS DE MORA,0.0,0.0,301251.13,0.0,31/12/2013
63000,Advocacia-Geral da União,63000,Advocacia-Geral da União - Unidades com vínculo direto,110060,COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU,Receitas Correntes,Outras Receitas Correntes,"Bens, Direitos e Valores Incorporados ao Patr",REC.DIV.ATIVA POR INFRAÇÃO ADMINISTRATIVA,0.0,0.0,1855.58,0.0,31/12/2013
63000,Advocacia-Geral da União,63000,Advocacia-Geral da União - Unidades com vínculo direto,110060,COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU,Receitas Correntes,Outras Receitas Correntes,"Multas administrativas, contratuais e judicia",MULTAS E JUROS PREVISTOS EM CONTRATOS,0.0,0.0,12011.65,0.0,31/12/2013
63000,Advocacia-Geral da União,63000,Advocacia-Geral da União - Unidades com vínculo direto,110060,COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU,Receitas Correntes,Outras Receitas Correntes,"Multas administrativas, contratuais e judicia",OUTRAS MULTAS,0.0,0.0,418693.27,0.0,31/12/2013
63000,Advocacia-Geral da União,63000,Advocacia-Geral da União - Unidades com vínculo direto,110060,COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU,Receitas Correntes,Outras Receitas Correntes,Demais receitas correntes,OUTRAS RECEITAS,0.0,0.0,1035906.21,0.0,31/12/2013
63000,Advocacia-Geral da União,63000,Advocacia-Geral da União - Unidades com vínculo direto,110060,COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU,Receitas Correntes,Outras Receitas Correntes,Demais receitas correntes,RECEITA DE HONORÁRIOS DE ADVOGADOS,0.0,0.0,40031187.66,0.0,31/12/2013
63000,Advocacia-Geral da União,63000,Advocacia-Geral da União - Unidades com vínculo direto,110060,COORD. GERAL DE ORC. FIN. E ANAL. CONT. - AGU,Receitas Correntes,Outras Receitas Correntes,Demais receitas correntes,RECEITA DE ÔNUS DE SUCUMBÊNCIA,0.0,0.0,10075291.47,0.0,31/12/2013
